Locutor,text,Sarcasmo,Utsumi,hipérbole,Haverkate,Grice,Nakamura,Acto de habla
archer,¿Tienes una hermana?,FALSE,,FALSE,,,,
cyril,¿Cómo se pierde un bebé?,FALSE,,FALSE,,,,
criminal,Pero creía que era algo racista,FALSE,,FALSE,,,,
stan,Papá,FALSE,,FALSE,,,,
randy,Seis mil?,FALSE,,FALSE,,,,
criminal,Voy a pedir refuerzos,FALSE,,FALSE,,,,
slater,"Porque tiempo es crucial, asta ayer Baruk era un ciber espía de la inteligencia paquistaní. Pero ahora quere pasarse a nuestro bando",FALSE,,FALSE,,,,
stan,"Sí, abuelo",FALSE,,FALSE,,,,
lana,"¿Un poco? Nos mandaste a un… espera, nos seguiste hasta aquí",FALSE,,FALSE,,,,
slater,Eh?,FALSE,,FALSE,,,,
animador,"¿Es futbol seguro para sus hijos? Un padre preocupado, Randy Marsh, dice que no. Comenzó un movimiento para reformar el deporte y ya tiene cientos de seguidores.",FALSE,,FALSE,,,,
ray,"David, Key, Keith, Kenny",FALSE,,FALSE,,,,
empresario,"Oye, niño, si tienes un problema con el sistema, estás en un lugar equivocado. Aquí solo fundimos lo que nos envían de los lugares de compra de oro",FALSE,,FALSE,,,,
archer,"Ojalá siguiera entre nosotros. Podría haber parado algunas balas. Por Dios! En fin, van ocho incluida la que está en mi hombro, así que",FALSE,,FALSE,,,,
randy,Solo intento irme sin ser descortéz,FALSE,,FALSE,,,,
slater,¿Tenéis el disco?,FALSE,,FALSE,,,,
empresario,"""Nosotros no somos los que negamos el verdadero valor de sus joyas, el refrán hindu en realidad dice """"mai pai pachata hai""""""",FALSE,,FALSE,,,,
krieger,"No, pero cuando descubra cómo criar de tejido un oso de verdad para cubrirlo",FALSE,,FALSE,,,,
criminal,Ya pero,FALSE,,FALSE,,,,
kyle,Qué está haciendo?,FALSE,,FALSE,,,,
malory,"No, no, no, claro que no",FALSE,,FALSE,,,,
archer,Vale,FALSE,,FALSE,,,,
archer,"Nuestra hija, Lana",FALSE,,FALSE,,,,
criminal,Sobre todo hago improvisaciones,FALSE,,FALSE,,,,
lana,"No, no, no puedes hacerte verbo, no te lo consiento",FALSE,,FALSE,,,,
archer,Qué?,FALSE,,FALSE,,,,
cyril,...Hay que fastidiarse,FALSE,,FALSE,,,,
archer,"Oye, tú no eres mi jefe",FALSE,,FALSE,,,,
archer,No creo que pueda romper nada,FALSE,,FALSE,,,,
lana,¿Qué?,FALSE,,FALSE,,,,
lana,"No, les maquillaron los de la CIA que les queda muy realista",FALSE,,FALSE,,,,
cartman,"Esas corbatas están de moda, tiene suerte de tenerla",TRUE,insinceridad,FALSE,contrario,calidad,,"representativo,expresivo"
archer,"En serio, bueno, como decía",FALSE,,FALSE,,,,
abuelo,"Amaba ese perro, me hico muy feliz siempre. Cuando murió no quise ponerme demasiado triste, porque pensé que siempre me quedaría el recuerdo de su caríta alegre. Yo no recuerdo cómo era su cara, Villy",FALSE,,FALSE,,,,
lana,"Esta bolsa es de ropa, esa de pañales, en la nevera hay leche materna que excuso de tí",FALSE,,FALSE,,,,
archer,No,FALSE,,FALSE,,,,
randy,"Gente, escuchen todos. Hay algo que deben saber acerca del sarcasmobol, es un juego totalmente seguro, sí super seguro, es tan seguro que cada niño de país debería jugarlo",TRUE,insinceridad,TRUE,distinto,"calidad,cantidad",,"directivo,representativo"
archer,Vale,FALSE,,FALSE,,,,
lana,"Eres un traidor, hijo de puta",FALSE,,FALSE,,,,
stan,"Ya no es una beba, abuelo, tiene trece",FALSE,,FALSE,,,,
conway,El archivo está en el servidor principal de le servicio secreto de la inteligencia argentio,FALSE,,FALSE,,,,
archer,Fue a apuntado con la pistola,FALSE,,FALSE,,,,
lana,¿Por qué? ¿Porque fui yo quien le arrancó la mano a Conway?,FALSE,,FALSE,,,,
cartman,"Un momento, cuánto pagó por estas joyas?",FALSE,,FALSE,,,,
criminal,Ah,FALSE,,FALSE,,,,
rodger goodell,¡Bien hecho!,TRUE,insinceridad,FALSE,contrario,calidad,,expresivo
todos,Sí,FALSE,,FALSE,,,,
stan,"No te preocupes, abuelo, yo me encragaré de esto",FALSE,,FALSE,,,,
archer,Es un actor?,FALSE,,FALSE,,,,
cheryl,Solo a la gente niñera,FALSE,,FALSE,,,,
archer,"Ya, me he pasado",FALSE,,FALSE,,,,
cyril,Está vacía!,FALSE,,FALSE,,,,
todos,Muy buenas,FALSE,,FALSE,,,,
niño,"Sí, necesitamos más de tu jugo, Butters",FALSE,,FALSE,,,,
malory,Con la amenaza implicaré que te dispararé a los genitalios. Y luego me sentaré a beber jerez jamontillado mientras que te desangras,FALSE,,FALSE,,,,
las dos,¡Por Dios!,FALSE,,FALSE,,,,
rodger goodell,"Bien. Ciertamente existen muchas estadísticas interesantes, Dan. Y estamos muy preocupados y esperando a ver si existe una relación directa entre futból y los traumas de cráneo",TRUE,insinceridad,TRUE,distinto,calidad,,"representativo,expresivo"
cartman,Es cierto,FALSE,,FALSE,,,,
lana,La casa es segura para bebés?,FALSE,,FALSE,,,,
archer,"Pam, la niña",FALSE,,FALSE,,,,
archer,"Hmm… vale, pero luego seguimos mi plan",FALSE,,FALSE,,,,
butters,"Señor Marsh, escuche, sé que se preocupa por su hijo, pero es un tremendo jugador. Hace buenas cosquillas, se ríe y tiene buen carácter",FALSE,,FALSE,,,,
randy,¿Féliz? ¡Contentísimo! Mire lo mucho que mejoró esto,TRUE,"insinceridad,emocional",TRUE,contrario,"calidad,manera",,directivo
abuelo,Seis mil dólares,FALSE,,FALSE,,,,
malory,"Por favor, no se les pueda contar nada",FALSE,,FALSE,,,,
archer,Cómo dices?,FALSE,,FALSE,,,,
archer,¿Lo dices en serio?,FALSE,,FALSE,,,,
fotógrafo,"¿Muchachos, por qué no posan para una maldíta foto que quedará en la memoria del deporte?",TRUE,"emocional,alusión",FALSE,,manera,,directivo
cyril,"Aha, porque necesitas ayuda con la niña y no quieres llamar a Lana y vienes a pedirnos ayuda",FALSE,,FALSE,,,,
lana,No quiero que bebas nada,FALSE,,FALSE,,,,
archer,Cuando nos pidió que vinieramos a rescatarte,FALSE,,FALSE,,,,
archer,Ya si estuviera,FALSE,,FALSE,,,,
randy,"Bien, aquí vamos. Miren como van a patear. Las jugadas especiales son las más importantes",FALSE,,FALSE,,,,
randy,"Sí Stan, es lo que quiere la gente. No te preocupes, luces genial.",TRUE,"insinceridad,emocional",FALSE,contrario,calidad,,expresivo
conway,No Kane con K sino,FALSE,,FALSE,,,,
slater,Se producen en el cuarto de baño,FALSE,,FALSE,,,,
randy,"Sí, sí, ya nos cansamos de que nuestros niños se golpeen en el campo y se lastimen. Hagámos el sarcasmobol el deporte oficial en todas las escuelas",TRUE,"insinceridad,emocional,alusión",FALSE,distinto,calidad,expectación,"representativo,directivo"
pam,"Espera, qué hago? La azotea es el primer sitio donde buscarán",FALSE,,FALSE,,,,
lana,"¿Te puñalara por la espalda, no harás ninguna tontería en plan de venganza cuando abra la puerta?",FALSE,,FALSE,,,,
archer,Marchando una empanada familiar,TRUE,,FALSE,distinto,"manera,relevancia",,comisivo
animador,"El entrenador Martín se acerca para decírselo, pero parece que Jackson cree que está en su auto regresando a casa. Mientras esperamos nos alegra poder recibir el comisionato de NFL, Roger Goodell. Comisionato, mucho aburato para conmociones este año en la NFL. ¿Cómo maneja la liga todo esto?",FALSE,,FALSE,,,,
malory,¿La ibas a convertir en un robot?,FALSE,,FALSE,,,,
butters,"Está aquí, unas veces se rebalsa",FALSE,,FALSE,,,,
butters,"Y luego cuando intenten agradecernos por los clavos, les decirémos que no se agradezca porque hicimos lo correcto, y luego les sonreirémos",FALSE,,FALSE,,,,
criminal,"A sí, eso tiene más sentido",FALSE,,FALSE,,,,
archer,¡Eso no! AJ si nos pasa algo,FALSE,,FALSE,,,,
lana,"Archer, no vayas como loco. ¿Qué coños estás haciendo?",FALSE,,FALSE,,,,
butters,"Oh, de acuerdo, aquí tienen",FALSE,,FALSE,,,,
conway,Y por venganza. ¿Te acuerdas cómo me arrancaste la mano?,FALSE,,FALSE,,,,
butters,"Ah, papá, oye papá. ",FALSE,,FALSE,,,,
niño,"No tenemos entrenador, Kyle",FALSE,,FALSE,,,,
criminal,Es viernes por la noche. Por qué coño hay gente aqui todavía?,FALSE,,FALSE,,,,
animador,Y aquí están las maldítas animadoras de Denver,FALSE,,FALSE,,,,
stan,"Fue regalo de mi abuelo, sí, y le costó mucho dinero",FALSE,,FALSE,,,,
stan,"Sí, no me gusta que se aprovechen de mí",FALSE,,FALSE,,,,
stan,"Entonces, fuimos a la India, que es hermosa, creo, nunca había ido. Y aprendimos que quien lo fundió, lo negó, lo rimó y de hecho lo proveyó",FALSE,,FALSE,,,,
criminal,A mí o a él?,FALSE,,FALSE,,,,
anuncio,"El jugo cremoso de Butters está lleno de todo lo que un atleta necesita: compromiso, compasión y camaradería. Y también viene en vase de cuarto litro",FALSE,,FALSE,,,,
criminal,"No, mis compañeros lo inventaron para que Slater me llevara a usted y que usted me trajera aquí",FALSE,,FALSE,,,,
malory,"Sí, pues claro",FALSE,,FALSE,,,,
conway,"Lo iba a hacer, pero mujer, no soy un monstruo. Has sido madre",FALSE,,FALSE,,,,
archer,Un aplauso para el pibe,FALSE,,FALSE,,,,
stan,"Genial, no volveré a usarla",FALSE,,FALSE,,,,
abuelo,Pero cuesta cinquenta mil. Lo dijeron en el canal de ventas de joyas,FALSE,,FALSE,,,,
conway,"El servidor está en una cámara acorazada y reforzada con acceso mediante una tarjeta y escáneo de retina, en el último piso del sede del servicio de inteligencia, que está fuertemente custodiada por todos sus puntos por fuerzas especiales con órdenes de disparar a matar a toda persona no autorizada.",FALSE,,FALSE,,,,
archer,No tengo el urdu tan fresco como pensaba,FALSE,,FALSE,,,,
lana,Romperé el cristal,FALSE,,FALSE,,,,
criminal,Porcuro que no haya sorpresas,FALSE,,FALSE,,,,
periodista,"Entrenador, victoria de tres a cero sobre los Stillers, se debe sentir un ganador",FALSE,,FALSE,,,,
archer,"Ah, vale",FALSE,,FALSE,,,,
conway,"Pues, sácale los ojos, ¿vale?",FALSE,,FALSE,,,,
archer,"Ya os tendríais que haber ido, pero supongo que ya es tarde, así que...",FALSE,,FALSE,,,,
stan,Pero como puede salirse con la suya,FALSE,,FALSE,,,,
todos,¡Conway Stern!,FALSE,,FALSE,,,,
cyril,"Venga, no podemos tener una noche de poker sin violencia?",FALSE,,FALSE,,,,
ray,"Y Cheryl, qué?",FALSE,,FALSE,,,,
criminal,"""La única frase que sabes en urdu es """"no jodas cabrón violador de cabras""""?""",FALSE,,FALSE,,,,
stan,"Lo sé, habría deseado que me hubiera regalado el dinero en vez de esta corbata",FALSE,,FALSE,,,,
malory,"Oh, por Dios bendíto",FALSE,,FALSE,,,,
archer,"Iba a decir, era dos de dos chicos",FALSE,,FALSE,,,,
ray,"Tengo tres en la saca, necesito cuatrao para el finde, me voy a Gaylandia",FALSE,,FALSE,,,,
archer,Sabías que mentía,FALSE,,FALSE,,,,
slater,Mejor me voy,FALSE,,FALSE,,,,
randy,"Muchachos, escuchen, olvídense del día libre. Tenemos que practicar mañana",FALSE,,FALSE,,,,
kyle,Ni siquiera entendemos cómo se juega este juego,FALSE,,FALSE,,,,
lana,¿Y eso?,FALSE,,FALSE,,,,
cartman,Sucios hijos de puta traicioneros. Quieren dejarme fuera?  Me robaron la fórmula y luego intentaron joderme. Butters!,FALSE,,FALSE,,,,
kyle,Y qué significa,FALSE,,FALSE,,,,
archer,¿De dónde te sacas las veinte copas?,FALSE,,FALSE,,,,
cyril,Qué?,FALSE,,FALSE,,,,
archer,Verdad,FALSE,,FALSE,,,,
archer,Todo tiene su lógica,FALSE,,FALSE,,,,
slater,Vale te llamo cuando resuelven lo del topo para que lo lleves al nuevo piso franco,FALSE,,FALSE,,,,
cartman,"No, yo no tengo ésa que te llevas dentro, Butters.",FALSE,,FALSE,,,,
conway,"Bueno, saltar, llevo paracaigas",FALSE,,FALSE,,,,
guardia,Coronel,FALSE,,FALSE,,,,
archer,"Ahora soy un verbo, Lana. Acepta la idea. Y de paso, cúbreme por favor",FALSE,,FALSE,,,,
dependiente de oro,"Oro de quatorce quilates, diamantes y turquesa. Te doy quince dólares.",FALSE,,FALSE,,,,
randy,Esto es esprema,FALSE,,FALSE,,,,
lana,"Archer, hablo en serio",FALSE,,FALSE,,,,
randy,"Claro, le hizo algo a mi cerebro y ahora no puedo parar de ser sarcástico",TRUE,"insinceridad,alusión",FALSE,contrario,calidad,,representativo
kyle,"Te necesitamos, Butters. Eres el indicado",FALSE,,FALSE,,,,
malory,Lo dije,FALSE,,FALSE,,,,
archer,"No sé que le ocurrió, en fin, venimos a buscar unas cosas de la niña. Así que vamos a cogerlas. Maní?",FALSE,,FALSE,,,,
butters,Estaba teniendo un sueño feliz con una chica y…,FALSE,,FALSE,,,,
lana,"Oh, sí Archer, tengo una hermana",FALSE,,FALSE,,,,
butters,"No sé, nunca me había puesto en pensarlo",FALSE,,FALSE,,,,
randy,Lucen bien muchachos. ¡A patear culos!,TRUE,"insinceridad,emocional",FALSE,contrario,calidad,expectación,"expresivo,directivo"
lana,"Bueno, Conway, ganas este salto",FALSE,,FALSE,,,,
abuelo,"Oy, es maravilloso, eso me pondría muy contento. Quiénes están?",FALSE,,FALSE,,,,
abuelo,"Oh, parece que te divertiste mucho",FALSE,,FALSE,,,,
los dos,¡Dícelo a él!,FALSE,,FALSE,,,,
krieger,"Vale, os voy a explicar todo eso",FALSE,,FALSE,,,,
randy,No entiendo cómo alguien puede jugar a esto con sinceridad,FALSE,,FALSE,,,,
padre de butters,Lo hablarémos cuando crezcas,FALSE,,FALSE,,,,
archer,"No, era por saber si tenía que llevar un saco con el símbolo del dólar",TRUE,"alusión,insinceridad",TRUE,distinto,calidad,,representativo
archer,Y hablando de… cago la leche,FALSE,,FALSE,,,,
archer,Qué? Creía que significaba lo siento. Se ve que por eso aquella noche en el burdel de carrachi pasó de repente de malísima a mucho peor,TRUE,insinceridad,FALSE,contrario,calidad,expectación,representativo
lana,Quería saber si podía fiarme que te quidaras de AJ tú solo,FALSE,,FALSE,,,,
slater,Para que te controles,FALSE,,FALSE,,,,
archer,"Joder, en fin, dudo que el robot tenga Bourbon y no me aptece tres en uno con cola, al menos que no haya, literalmente, nada más que beber",FALSE,,FALSE,,,,
conway,"Sí claro, y más después de las malpinas.",TRUE,"alusión,insinceridad",FALSE,contrario,calidad,predicción,representativo
stan,"Cielos, mi abuelo pagó seis mil dólares para algo que casi no tiene valor algúno. Cómo, cómo puede ocurrir algo semejante?",FALSE,,FALSE,,,,
lana,"¿Podríamos dejarlo ya, por favor?",FALSE,,FALSE,,,,
pam,Eso pensaba si se lo adreza a quienquiera que lo haya preguntado,FALSE,,FALSE,,,,
ray,"Espera, qué?",FALSE,,FALSE,,,,
randy,Qué buen golpe. Recuerdenlo en la práctica mañana,FALSE,,FALSE,,,,
conway,Y pierde unos kilítos,FALSE,,FALSE,,,,
archer,"Sí, tengo literalment miles de armas",FALSE,,FALSE,,,,
pam,Voy a darle yo violencia homófoba,FALSE,,FALSE,,,,
archer,"Te iba a ofrecer una copa, pero solo tengo tequila y licor de café",FALSE,,FALSE,,,,
todos,Sí,FALSE,,FALSE,,,,
lana,"Joder, Archer",FALSE,,FALSE,,,,
cartman,"Oye, Butters. ¿Tienes un minuto?",FALSE,,FALSE,,,,
animadoras de denver,"¡Vamos, Broncos, vamos!",TRUE,,FALSE,distinto,,,directivo
archer,Pásalo bien y saluda a tu vida animal,FALSE,,FALSE,,,,
butters,Como yo,FALSE,,FALSE,,,,
archer,"Literalmente, por la espalda, puñalada",FALSE,,FALSE,,,,
médico,"No se puede, lo siento, no hay investigaciones que determinen los efectos del sarcasmo al cerebro",FALSE,,FALSE,,,,
cyril,Joder y qué hacemos?,FALSE,,FALSE,,,,
madre de stan,"¿Randy, no vas a acompañar tu familia en la cena?",FALSE,,FALSE,,,,
stan,"No, es un regalo que me dio mi abuelo, pero es tan costoso que me siento mal aceptarlo. Prefiero efectivo",FALSE,,FALSE,,,,
cartman,"Mis bolas, mis bolas, chúpalas",FALSE,,FALSE,,,,
lana,Ya y,FALSE,,FALSE,,,,
anuncio,"¿Juegas duro? ¿Necesitas una bebida deportiva que te de más energía? Los deportes de hoy son para gente amable, así que mejora tu desempeño con jugo cremoso de Butters. Estarás lleno de buenos sentimientos y serás más gentil que un rayo de sol",FALSE,,FALSE,,,,
dependiente de oro,"Sí, pero los diamantes no me sirven para nada. Tendría que enviarlo a un fundidor que se ocupe de fundir el oro y quizás yo gane unos diez dólares",FALSE,,FALSE,,,,
krieger,Esta es la vieja,FALSE,,FALSE,,,,
criminal,Todavía tengo pistola,FALSE,,FALSE,,,,
archer,No estamos en el mismo bando?,FALSE,,FALSE,,,,
lana,"Sí, tú sí que has que has perdidio peso Conway Stern o cómo te llames en realidad",TRUE,"insinceridad,emocional",FALSE,contrario,calidad,,representativo
pam,"Venga, pues tan cabrones violadores de cabras a pelo y sin comodines",FALSE,,FALSE,,,,
lana,"Porque tengo que herir tus sentimientos, si me pasa algo, y solo a mí Archer, AJ viviría con mis padres",FALSE,,FALSE,,,,
archer,"No, Lana. Mirad, como tenga que parar, nos van a matar a todos, así que",FALSE,,FALSE,,,,
cheryl,¿Se refiere a mí?,FALSE,,FALSE,,,,
dependiente de oro,Nueve dólares,FALSE,,FALSE,,,,
archer,"Lana, Lana, ¿es que tienes envidia de que soy un vergón?",TRUE,,FALSE,,"calidad,manera",,expresivo
ray,La madre que te parió,FALSE,,FALSE,,,,
sharon,"Vamos, ábrelo, Stan",FALSE,,FALSE,,,,
criminal,"Vamos es que no va armado, es lo que quiero decir",FALSE,,FALSE,,,,
archer,"Bueno, de allí vamos, Conway, procura parecerse presidencia. Y Lana que parezcas eso, una señora, lo has gordado",FALSE,,FALSE,,,,
cheryl,Pásalo bien y ojalá que sufras de violencia homófoba,FALSE,,FALSE,,,,
ray,¡Jolín!,FALSE,,FALSE,,,,
criminal,Qué?,FALSE,,FALSE,,,,
cartman,"""Así es, los sujetes con carteles """"compramos oro"""" compran sus joyas de porquería. Sumamos con las canales de ventas y los dividimos por los viejos de mente, tenemos oro""",FALSE,,FALSE,,,,
archer,"Vale, harémos lo siguiente",FALSE,,FALSE,,,,
cheryl,Nada hasta que consultemos la cuija,FALSE,,FALSE,,,,
stan,¿Qué?,FALSE,,FALSE,,,,
stan,Alguien está en la cabeza de todo esto y alguien tiene que pagar. Solo estoy pidiendo una maldita retribución para mi maldito abuelo,FALSE,,FALSE,,,,
lana,Me busco a una canguro,FALSE,,FALSE,,,,
guardia,"Su identificación, coronel, por favor",FALSE,,FALSE,,,,
slater,tenía,FALSE,,FALSE,,,,
slater,"Perdón, se llama operación QUETE",FALSE,,FALSE,,,,
